--- Project Cost Summary Report ---

Sites Over Budget:
                       site_name  estimated_total_cost  actual_total_cost  cost_overrun
76            Wenge Valley Plaza                 97000             102500          5500
77           Bubinga Grove Tower                160000             168500          8500
78         Kingwood Hill Complex                122000             128000          6000
79             Tamo Point Center                 92000              96500          4500
80     Afrormosia Creek Building                145000             153000          8000
81            Etimoe Street Mall                106000             111000          5000
82             Padauk Bay Office                164000             172500          8500
83            Cumaru Ridge Plaza                118000             124000          6000
84              Ipe Valley Tower                134000             140500          6500
85           Jatoba Hill Complex                 88000              93000          5000
86        Tigerwood Point Center                153000             160500          7500
87         Santos Creek Building                102000             107500          5500
88          Amendoim Street Mall                127000             133000          6000
89             Garapa Bay Office                 83000              88000          5000
90      Massaranduba Ridge Plaza                146000             153500          7500
91           Peroba Valley Tower                109000             114500          5500
92        Tatajuba Grove Complex                167000             175500          8500
93            Angico Hill Center                116000             122000          6000
94        Roxinho Point Building                132000             138500          6500
95            Angelim Creek Mall                 87000              91500          4500
96          Goncalo Street Tower                150000             157000          7000
97            Cupiuba Bay Office                101000             106000          5000
98         Jequitiba Ridge Plaza                159000             167000          8000
99       Sucupira Valley Complex                114000             120000          6000
100            Canela Hill Tower                140000             147000          7000
101          Freijo Point Center                 95000             100000          5000
102  Muiracatiara Creek Building                152000             160000          8000
103          Cacheta Street Mall                107000             112500          5500
104             Louro Bay Office                162000             170000          8000

Sites with Timeline Delays:
                       site_name  estimated_duration_days  actual_duration_days  timeline_delay
0                 Downtown Plaza                       90                    95               5
1            Harbor View Complex                      120                   125               5
3                Riverside Tower                      110                   118               8
4          Central Park Building                      100                   105               5
5               Northgate Office                      130                   140              10
6              Southpoint Retail                       85                    88               3
7             Eastside Warehouse                       95                    98               3
8              Hilltop Residence                       80                    85               5
9                Lakefront Villa                      105                   112               7
11              Sunset Boulevard                       92                    97               5
12           Ocean Drive Complex                      140                   150              10
13           Valley Creek Center                      108                   113               5
14             Pine Ridge Office                       87                    90               3
15         Maple Street Building                      115                   120               5
16                Oak Lane Plaza                       98                   102               4
17             Cedar Point Tower                      128                   135               7
18              Birch Grove Mall                      102                   107               5
19           Willow Park Complex                       89                    93               4
20             Elm Avenue Center                      118                   125               7
21            Spruce Hill Office                       94                    99               5
23          Redwood Valley Plaza                      100                   105               5
24             Cypress Bay Tower                      112                   118               6
25            Juniper Creek Mall                       90                    94               4
26         Sequoia Ridge Complex                      122                   130               8
27        Magnolia Street Center                       97                   102               5
28            Poplar Lane Office                      106                   111               5
29          Sycamore Point Plaza                       86                    90               4
30       Chestnut Grove Building                      119                   126               7
31           Hickory Ridge Tower                       96                   101               5
32            Walnut Valley Mall                      135                   143               8
33           Beech Creek Complex                      103                   108               5
34               Fir Hill Office                       84                    88               4
35             Cherry Lane Plaza                      116                   122               6
36           Pecan Street Center                       93                    98               5
37              Cottonwood Tower                      127                   134               7
38          Dogwood Bay Building                      104                   109               5
39             Laurel Point Mall                       91                    95               4
40         Hemlock Ridge Complex                      117                   124               7
41           Alder Valley Office                       99                   104               5
42          Basswood Creek Plaza                      129                   136               7
43         Ironwood Street Tower                      101                   106               5
44            Locust Hill Center                      113                   119               6
45         Mesquite Bay Building                       88                    92               4
46          Persimmon Ridge Mall                      121                   128               7
47           Sumac Valley Office                       95                   100               5
48          Tamarack Point Plaza                      109                   115               6
49             Yew Creek Complex                       85                    89               4
50           Banyan Street Tower                      118                   125               7
51          Catalpa Grove Center                       94                    99               5
52         Hawthorn Bay Building                      133                   141               8
53              Larch Ridge Mall                      104                   109               5
54          Mimosa Valley Office                       83                    87               4
55              Rowan Hill Plaza                      115                   121               6
56          Tupelo Point Complex                       92                    97               5
57           Buckeye Creek Tower                      126                   133               7
58          Ginkgo Street Center                      103                   108               5
59           Linden Bay Building                       89                    93               4
60             Acacia Ridge Mall                      117                   124               7
61       Jacaranda Valley Office                       98                   103               5
62          Mahogany Grove Plaza                      128                   135               7
63             Teak Hill Complex                      100                   105               5
64            Bamboo Point Tower                      111                   117               6
65            Ebony Creek Center                       87                    91               4
66    Sandalwood Street Building                      120                   127               7
67             Rosewood Bay Mall                       94                    99               5
68            Teak Valley Office                      107                   113               6
69         Zebrawood Ridge Plaza                       84                    88               4
70            Boxwood Hill Tower                      116                   123               7
71          Lignum Point Complex                       97                   102               5
72        Butternut Creek Center                      130                   138               8
73        Myrtle Street Building                      102                   107               5
74                Olive Bay Mall                       82                    86               4
75           Sapele Ridge Office                      114                   120               6
76            Wenge Valley Plaza                       91                    96               5
77           Bubinga Grove Tower                      125                   132               7
78         Kingwood Hill Complex                      103                   108               5
79             Tamo Point Center                       88                    92               4
80     Afrormosia Creek Building                      115                   122               7
81            Etimoe Street Mall                       96                   101               5
82             Padauk Bay Office                      127                   134               7
83            Cumaru Ridge Plaza                      101                   106               5
84              Ipe Valley Tower                      110                   116               6
85           Jatoba Hill Complex                       86                    90               4
86        Tigerwood Point Center                      119                   126               7
87         Santos Creek Building                       93                    98               5
88          Amendoim Street Mall                      106                   112               6
89             Garapa Bay Office                       83                    87               4
90      Massaranduba Ridge Plaza                      116                   123               7
91           Peroba Valley Tower                       98                   103               5
92        Tatajuba Grove Complex                      129                   137               8
93            Angico Hill Center                      100                   105               5
94        Roxinho Point Building                      109                   115               6
95            Angelim Creek Mall                       85                    89               4
96          Goncalo Street Tower                      118                   125               7
97            Cupiuba Bay Office                       92                    97               5
98         Jequitiba Ridge Plaza                      123                   130               7
99       Sucupira Valley Complex                       99                   104               5
100            Canela Hill Tower                      113                   119               6
101          Freijo Point Center                       90                    94               4
102  Muiracatiara Creek Building                      119                   126               7
103          Cacheta Street Mall                       97                   102               5
104             Louro Bay Office                      126                   133               7
